pmid,split,num_tokens,participants_spans,interventions_spans,outcomes_spans,text_preview
25040756,train,375,postoperative analgesia in neonates | neonatal cardiac and general surgery . | postsurgical neonates . | Neonates born ≥32 weeks postmenstrual age | addition to morphine | . Median survival time | positive effect on time,acetaminophen and morphine | tramadol 's | standard analgesia | either tramadol | P 6-hourly | at 20,"extubation , morphine and midazolam amounts , hourly pain scores , and seizure activity were compared using an | time to extubation was similar between the | mean percentage of time | 5 days : T | . CONCLUSION Tramadol 's addition to | , or pain scores . This questions the benefit of tramadol for postsurgical neonates",The addition of tramadol to the standard of i.v. acetaminophen and morphine infusion for postoperative analgesia in neonates offers no clinical benefi
19284641,train,505,"children with autism : | 62 children with autism recruited from 6 centers , ages 2-7 years ( mean 4.92 +/- 1.21 ) | Children with autism","randomly assigned to 40 hourly treatments of either hyperbaric treatment at 1.3 atmosphere ( atm ) and 24 % oxygen ( "" treatment group "" , n = 33 ) or slightly pressurized room air at 1.03 atm and 21 % oxygen ( "" control group "" , n = 29 ) .","Clinical Global Impression ( CGI ) scale , Aberrant Behavior Checklist ( ABC ) , and Autism Treatment Evaluation Checklist ( ATEC ) . | overall functioning | receptive language | social interaction | eye contact | parental CGI scores | overall functioning | receptive language | eye contact | total score , irritability , stereotypy , hyperactivity , and speech | ABC total score and subscales | ATEC , sensory/cognitive awareness | overall functioning , receptive language , social interaction , eye contact , and sensory/cognitive awareness","Hyperbaric treatment for children with autism: a multicenter, randomized, double-blind, controlled trial. BACKGROUND Several uncontrolled studies of h"
25542917,train,301,120 participants received a 1 week supply of nicotine inhalers and 1 week of nicotine lozenges | Menthol cigarette smokers | nonmenthol smokers .,1 week supply of nicotine inhalers and 1 week of nicotine lozenges,number of lozenges per day | higher NRT strength of sensation scores,"Relationships of PROP Taste Phenotype, Taste Receptor Genotype, and Oral Nicotine Replacement Use. INTRODUCTION Recommended dosage of oral nicotine re"
16719652,train,184,double-mediation model . | relation between tradeoff size and conflict .,"double-mediation model . | double-mediation model , which combines the mediating effects of sacrifice and argumentation .","Also , when the decision situation increases the mediating effect of sacrifice relative to that of argumentation , the relation between tradeoff size and conflict changes in an upward direction ; conversely , when the decision situation increases the mediating effect of argumentation relative to that of sacrifice , the relation changes in a downward direction .","Tradeoffs and theory: the double-mediation model. Most theories of decision making suggest that, when options imply tradeoffs between their attributes"
23562192,train,314,"patients with allergic rhinitis | patients with persistent allergic rhinitis ( AR ) | single-center , randomized , double-blind , placebo-controlled , crossover , two-arm study , 40 patients with persistent AR were randomized | patients with AR","montelukast alone | levocetirizine . | desloratadine , levocetirizine , montelukast alone | combination . | montelukast and/or levocetirizine or placebo | montelukast and/or desloratadine",Nasal eosinophilia and serum soluble intercellular adhesion molecule 1 | nasal eosinophilia and serum soluble ICAM-1 ( sICAM-1 ) concentrations | nasal symptoms | Nasal eosinophilia and concentration of sICAM-1 in peripheral blood | sICAM-1 and nasal eosinophilia | severity of nasal symptoms . | nasal eosinophilia | influx of eosinophils | nasal symptoms | sICAM-1 and nasal eosinophilia .,Nasal eosinophilia and serum soluble intercellular adhesion molecule 1 in patients with allergic rhinitis treated with montelukast alone or in combina
25286703,train,432,joint related low back pain . OBJECTIVE | low back pain . METHODS 20 | with facet-joint pain were randomized,"facet joint block in | joint injection and nerve | in lumbar facet joint for the | ( B group ) or guided by ultrasound ( US group ) respectively . The location | blocks guided by ultrasound , in | blocks blindly , in | facet joint injection technique had a",", puncture time and one-time puncture success rate ( % | and pain remission rates in both | were 3.3 | was ( | is 86.5 | is 31.4 | success rate between the | pain remission rate at half | > or | rates were ( | difference between the",A clinical trial of ultrasound-guided facet joint block in the lumbar spine to treat facet joint related low back pain. OBJECTIVE To determine the fea
7924475,train,369,"patients who presented for treatment of acute asthma . | 94 patients ( mean age , 35.6 +/- 11.2 years ) with moderate to severe acute asthma .",metered-dose inhaler ( MDI ) into a spacer device | intravenous hydrocortisone,"therapeutic benefit and increase of the toxicity | peak expiratory flow , FEV1 , and FVC | adverse effects | respiratory obstruction | theophylline level",Treatment of acute asthma. Lack of therapeutic benefit and increase of the toxicity from aminophylline given in addition to high doses of salbutamol d
7960300,train,152,A random sample of 800 employees of a steel manufacturing company | All 621 subjects participating in the research were also tested by urinalysis .,"self-report methods | illicit drug use : 1 ) Individual interview in the workplace , 2 ) group-administered questionnaire in the workplace , 3 ) telephone interview , and 4 ) individual interview off the worksite .",Rates of drug use self-report | overall prevalence rates | urinalysis positives | self-report positives . | drug use assessment,Assessing drug use prevalence in the workplace: a comparison of self-report methods and urinalysis. A random sample of 800 employees of a steel manufa
20104460,train,268,"patients with myocardial dysfunction undergoing coronary artery bypass graft : | patients with ventricular dysfunction undergoing coronary artery bypass graft ( CABG ) . | Seventy patients with impaired left ventricular function left ventricular ejection fraction ( LVEF ) < 35 % undergoing on-pump CABG were enrolled . Patients were | on-pump CABG , especially",coronary artery bypass graft ( CABG ) . | of milrinone ( 50 microg/kg ) or saline as placebo followed by,"and transthoracic echocardiographic measurement of systolic and diastolic functions were the | of creatine phosphokinase ( CPK ) , the MB isoenzyme of creatine kinase ( CK-MB ) , occurrence of myocardial ischemia or infarction , and mean duration of using inotropic agents were significantly | ventricular arrhythmia , duration of cardiopulmonary bypass , intra-aortic balloon pump and inotropic support requirement , duration of mechanical ventilation , duration of intensive care unit stay and mortality rate . Although mean",Effect of milrinone on short-term outcome of patients with myocardial dysfunction undergoing coronary artery bypass graft: A randomized controlled tri
2240543,train,195,100 patients . | patients with a laryngoscope .,intubation . Tracheal tube placement | gum-elastic bougie . | tracheal tube rotation | first-time intubation,successful first-time intubation | unsuccessful first-time intubations | successful intubations | presence of a laryngoscope | rate of successful first-time intubations .,Successful difficult intubation. Tracheal tube placement over a gum-elastic bougie. A randomised study was carried out to assess the effect of trachea
10077140,train,384,patients with asthma | patients with asthma | Patients with asthma stabilized on CFC albuterol | Patients with asthma,hydrofluoroalkane-134a ( HFA ) albuterol . | Hydrofluoroalkane-134a ( HFA ) | switched from CFC albuterol to HFA albuterol . | either continue receiving CFC albuterol or to be switched to receive HFA albuterol in a yearlong safety and efficacy trial . | HFA albuterol | HFA albuterol,"Safety and efficacy | Bronchodilator efficacy | serial spirometry | changes in pulse rate , blood pressure , and electrocardiogram ( ECG ) intervals | monitoring adverse events | laboratory testing and physical examinations . | bronchodilator efficacy | pulse rate , blood pressure , and ECG intervals . Adverse event profiles",Switching patients with asthma from chlorofluorocarbon (CFC) albuterol to hydrofluoroalkane-134a (HFA) albuterol. Chlorofluorocarbon (CFC) propellants
19193781,train,333,metastatic and/or unresectable malignant gastrointestinal stromal tumors . | patients with CD117 ( + ) unresectable and/or metastatic malignant gastrointestinal stromal tumors ( GISTs ) . | patients with progressive disease on a lower dose . | European Organization for Research and Treatment of Cancer ( n = 946 ) and the other by the Southwest Oncology Group ( n = 746 ) .,imatinib mesylate | imatinib mesylate | imatinib .,"gastrointestinal stromal tumors . | imatinib mesylate | imatinib . | progression-free survival time | median OS | adverse events ( AEs ) | nausea , fatigue , skin rash , gastrointestinal complaints , and myalgia . | abnormality was anemia .",Approval summary: imatinib mesylate in the treatment of metastatic and/or unresectable malignant gastrointestinal stromal tumors. The purpose of the p
24716586,train,255,patients with moderate-to-severe plaque psoriasis : | inhibitor . 197 patients with moderate-to-severe plaque psoriasis were randomized to tofacitinib,"to tofacitinib 2 , 5 or 15 mg twice daily , or placebo | the tofacitinib | receiving tofacitinib | receiving placebo",using Patient Global Assessment of psoriasis | baseline in ISS values,Application of the Itch Severity Score in patients with moderate-to-severe plaque psoriasis: Clinically important difference and responder analyses. T
21425723,train,181,perineal pain after perineorrhaphy : | Thailand . | postpartum perineal pain after perineorrhaphy . | One hundred women who gave birth vaginally with episiotomy and a second- or third-degree tear,Tramadol suppository | oftramadol 50 mg or two tablets ofplacebo,perineal pain | postpartum perineal pain | Pain ratings | visual analogue scale . Side effects and overall opinion | analgesic properties | pain rating | no serious adverse events,Tramadol suppository versus placebo for the relief of perineal pain after perineorrhaphy: a randomized controlled trial in Thailand. OBJECTIVE This ra
7048172,train,110,16 patients with relapsing non-Hodgkin 's malignant lymphomas considered as clinical stage I or II | 5 of them were included in a randomized trial | 11 were systematically treated by BCG,chemo + radio + BCG-therapy . | chemo + radiotherapy and thereafter by maintenance BCG therapy . | BCG .,disease-free survival | disease-free survival .,Non-Hodgkin's malignant lymphomas: treatment of localized relapses with chemo + radio + BCG-therapy. 16 patients with relapsing non-Hodgkin's malignan
2192505,train,14,Cisapride for the treatment of irritable stomach -- results of 2 multicenter studies .,Cisapride for,-- results of,Cisapride for the treatment of irritable stomach--results of 2 multicenter studies.
23019005,train,166,Sensitivity to musical structure in the human brain . | brain-damaged patients | individual-subject fMRI analyses,individual-subject fMRI analyses,brain regions sensitive to musical structure | scrambling of both pitch and rhythmic structure | high-level linguistic structure . | representations of musical structure,"Sensitivity to musical structure in the human brain. Evidence from brain-damaged patients suggests that regions in the temporal lobes, distinct from t"
24599830,train,353,patients with chronic kidney disease . | patients with chronic kidney disease ( CKD ) not on dialysis | non-dialysis CKD patients . | subgroup of patients from a study that evaluated the impact of two phosphorus binder regimens on hard outcomes in CKD . Patients ( n = 113 ) with stage 3-4 CKD and evidence of CAC on a phosphorus-restricted diet | CKD patients,"phosphorus-restricted diet and phosphate-binding therapy | phosphorus-restricted diet | combined strategy of phosphorus-restricted diet and phosphate-binding therapy | a phosphorus-restricted diet | either calcium carbonate or sevelamer | their phosphorus-restricted diet | with calcium carbonate | confounders , sevelamer | combining phosphorus-restricted diet and sevelamer","risk of all-cause mortality and/or dialysis initiation | coronary artery calcification ( CAC ) progression | were death for any cause and initiation of dialysis | with increased CAC progression and occurrence of all-cause mortality , dialysis initiation , and the composite end-point | reduced risk of each endpoint | if CAC progression | moderate . Accelerated progression | the risk of all-cause mortality and composite end-point | reduction in all-cause mortality , dialysis initiation , and composite end-point risk | accelerated CAC progression",Effects of phosphorus-restricted diet and phosphate-binding therapy on outcomes in patients with chronic kidney disease. BACKGROUND Phosphorus is asso
3608343,train,449,"oral ketoprofen . | 8 healthy male volunteers , mean age 27.2 years | 14 blood and 4 urine samples",ketoprofen .,therapeutic efficacy | peak plasma concentration | reach peak concentration was much | longer at | treatment at | curve ( AUC0-12 ) was greater after 07.00 | longer after | at 07.00 | pharmacokinetic parameters,Circadian changes in the pharmacokinetics of oral ketoprofen. Several investigations which have taken treatment time into account have shown that the 
6367857,train,160,women with operable breast cancer with histologically positive axillary lymph nodes . | patients with a 68-month median follow-up | 172 receiving CMFVP | 186 women given L-PAM | women who were premenopausal,"Adjuvant therapy | adjuvant combination chemotherapy with continuous CMFVP ( cyclophosphamide , methotrexate , 5-fluorouracil , vincristine , and prednisone ) to two years of intermittent L-phenylalanine mustard ( L-PAM )",treatment failures,Adjuvant therapy of breast cancer: the Southwest Oncology Group experience. The Southwest Oncology Group in a prospective randomized study compared on
9825232,train,214,"patients with migraine . | Forty-one migraine subjects ( 26 males , 15 females ) , mean age 36 +/- 2 years ( range 36-39 years ) , and 20 healthy control subjects ( 14 males , six females ) , mean age 36 +/- 2 years ( range 36-39 years ) | patients without hypertension and other cardiovascular disease .","Succinate sumatriptan | sumatriptan ( group A ) or placebo ( group B ) . After a 2-week complete pharmacological washout , clinical examination , electrocardiogram , and Doppler echocardiography were performed at baseline , 15 , 30 , 45 , and 60 min after sumatriptan or placebo administration . | succinate sumatriptan","blood pressure and vascular resistance | hemodynamic effects | ( aortic integral , pulmonary integral , end-systolic and end-diastolic diameters ) | heart rate ;",Succinate sumatriptan evaluation by Doppler echocardiography in patients with migraine. Recent reports show that sumatriptan administration increases 
20185596,train,304,polycystic liver volume in ADPKD : | autosomal-dominant polycystic kidney disease ( ADPKD ) . | 12 patients with ADPKD .,somatostatin analogue octreotide . | placebo . | ( octreotide : | placebo : | Octreotide therapy,polycystic liver volume | liver volumes | liver and kidney volumes | Liver volumes significantly decreased | Changes in liver volumes | significantly different | Octreotide-induced liver volume reduction | parenchyma volume | Changes in liver volumes | kidney volumes | Liver and kidney volume changes | net reductions in liver | volume growth | similar . | liver volumes,Reducing polycystic liver volume in ADPKD: effects of somatostatin analogue octreotide. BACKGROUND AND OBJECTIVES No medical treatment is available fo
17959958,train,205,patients undergoing elective cardioversion . | patients during induction of anesthesia with etomidate . | 40 patients ( ASA physical status III-IV ) scheduled for elective cardioversion,midazolam or placebo | etomidate .,"Myoclonic movements and sedation | Pulse oximetry , noninvasive arterial blood pressure , and heart rate | myoclonic movements","Low-dose intravenous midazolam reduces etomidate-induced myoclonus: a prospective, randomized study in patients undergoing elective cardioversion. BAC"
22818151,train,189,Localised prostate cancer : the | the elderly man and holds,"prostatectomy , percutaneous radiotherapy and permanent seed implantation and active surveillance ) allowing a",". However , | of 3 | prostatectomy , percutaneous radiotherapy and permanent seed implantation and active surveillance ) allowing a",Localised prostate cancer: the PREFERE trial. Prostate cancer is the most common carcinoma of the elderly man and holds the third place in the ranking
11549539,train,278,ozone-induced lung injury in human subjects . | 31 healthy nonsmoking adults ( 18 to 35 yr old ),"antioxidant supplementation | diet low in ascorbate | filtered air for 2 h while exercising ( 20 L/min/m ( 2 ) ) , and then underwent bronchoalveolar lavage ( BAL ) and were randomly assigned to receive either a placebo or 250 mg of vitamin C , 50 IU of alpha-tocopherol , and 12 oz of vegetable cocktail daily for 2 wk . | exposed to 0.4 ppm O ( 3 ) for 2 h and underwent a second BAL . | dietary antioxidants","lung function and airway inflammation | levels of plasma ascorbate , tocopherols , and carotenoids | O ( 3 ) -induced reductions in FEV ( 1 ) and FVC | inflammatory response to O ( 3 ) | percent neutrophils and the concentration of interleukin-6 | O ( 3 ) -induced pulmonary function",Effect of antioxidant supplementation on ozone-induced lung injury in human subjects. To determine whether antioxidants can influence human susceptibi
15358853,train,372,"patients with symptomatic peripheral arterial disease | 73 patients were assigned to CT angiography , and 72 were assigned to DSA . | patients with symptomatic peripheral arterial disease .",CT versus digital subtraction angiography | multi-detector row computed tomographic ( CT ) angiography and digital subtraction angiography ( DSA ) | CT angiography | DSA . | CT and DSA | DSA . | CT angiography,Physician confidence in the treatment decision | dichotomous outcome | Mean confidence scores | additional imaging recommendations | additional imaging recommendations | No statistically significant difference | lower confidence score | No significant difference | mean confidence score,Peripheral arterial disease: therapeutic confidence of CT versus digital subtraction angiography and effects on additional imaging recommendations. PU
15764958,train,298,antiretroviral-naive HIV-infected adults : | antiretroviral-naive patients over 48 weeks .,lamivudine and efavirenz | abacavir ( ABC ) | lamivudine ( 3TC ) | efavirenz ( EFV ),"baseline median plasma HIV-1 RNA level | plasma HIV-1 RNA level | infrequency of virologic failure | emergence of resistance mutations , CD4 cell increases from baseline | safety profile , and incidence of ABC-related hypersensitivity reactions",Abacavir once or twice daily combined with once-daily lamivudine and efavirenz for the treatment of antiretroviral-naive HIV-infected adults: results 
24032193,train,379,children : observation | . METHODS Sixty | autism children were divided | with CARS | is better,"training with | of needles on head . OBJECTIVE | with head needling retention and behavior training after acupuncture for autism | retention and behavior training group ( trial | after acupuncture treatment group ( control | on the | . While behavior | was applied | with head | after acupuncture treatment ,",training with | and developing | of autism children with CARS and PEP . RESULTS The | rate of the | of both | of both | cognitive understanding and cognitive expression were all | understanding and cognition expression .,Treatment of autism children: observation on efficacy of behavior training with retention of needles on head. OBJECTIVE To observe the effect differen
22940159,train,199,"children with visual-motor integration difficulties | pre-existing psychological adjustment and self-esteem levels in kindergarten and first grade children with poor visual-motor integration skills , from low socioeconomic backgrounds . One hundred and sixteen mainstream kindergarten and first-grade children , from low socioeconomic backgrounds , scoring below the 25th percentile on a measure of visual-motor integration ( VMI ) were recruited",Psychological adjustment and levels of self esteem | directive visual-motor intervention ( DVMI ) | non-directive supportive intervention ( NDSI ) . | DVMI .,,Psychological adjustment and levels of self esteem in children with visual-motor integration difficulties influences the results of a randomized inter
25179065,train,287,patients with drug and alcohol overuse | management of patients with MOH . | Norwegian general practice . | four focus group interviews with 22 GPs who participated in an intervention study on BI for MOH . | focus group interviews .,brief intervention | Brief Intervention ( BI ) | GPs ' experiences using BI in | GPs experienced | GPs experience BI,,GPs' experiences with brief intervention for medication-overuse headache: a qualitative study in general practice. BACKGROUND Medication-overuse heada
18288059,train,198,status patients who have relapsed after their first-line chemotherapy . The type | will be randomized with a,after initial | remains largely | docetaxel with a | doublet . METHODS Patients | ( cycles | ( cycles,of NSCLC after | or stabilisation | Arm B | or stabilisation | EXPECTED RESULTS | survival of 3,How to treat the relapse of NSCLC after surgery and chemotherapy? IFTC 0702 randomized phase III study. BACKGROUND As chemotherapy gains wider accepta
11331721,train,242,autism : | Sixty-four children with autism ( ages 2-7 years ; 55 boys and 9 girls ) with a range of intelligence quotient and verbal ability | children with autism .,porcine secretin | secretin . | secretin or placebo | placebo or porcine secretin | secretin . | porcine secretin,"formal measures of language , cognition , or autistic symptomatology . | cognitive level , the presence or absence of diarrhea | biological symptoms | skill performance","Repeated doses of porcine secretin in the treatment of autism: a randomized, placebo-controlled trial. BACKGROUND AND OBJECTIVES Anecdotal reports on "
18957616,train,282,"vivo in humans . | humans . | higher insulin dosing in obese subjects than lean subjects ( 30 vs. 10 mU.m ( -2 ) .min ( -1 ) , respectively )",hyperinsulinemic-euglycemic clamps,endothelin-mediated vasoconstriction . | NO bioactivity | Insulin-mediated vasodilation and insulin-stimulated NO bioavailability | steady-state insulin levels | insulin-mediated vasodilation | ET-1 flux | insulin-stimulated NO bioavailability and NOx flux | endothelin-mediated vasoconstriction .,Hyperinsulinemia fails to augment ET-1 action in the skeletal muscle vascular bed in vivo in humans. Endogenous endothelin action is augmented in huma
23280086,train,395,adults with acute lymphoblastic leukemia : | adults with acute lymphoblastic leukemia ( ALL ) | patients with Philadelphia chromosome ( Ph ) -positive ALL . | accrued patients from August 1996 to October 2004 . | median patient age was 43 years . Responses were evaluated in 164 patients .,"vincristine , corticosteroids , and anthracyclines intensified with cyclophosphamide , asparaginase , or both . | 4-drug induction ( the L-20 regimen ) . | consolidation , maintenance therapy , and central nervous system prophylaxis .",median follow-up for survivors | frequency of complete remission | resistant disease | Induction deaths | median survival | survival rate | long-term outcomes .,Treatment of adults with acute lymphoblastic leukemia: do the specifics of the regimen matter?: Results from a prospective randomized trial. BACKGROUN
25643864,train,146,"High-Functioning Children with ASD . | 43 children , ages 7-12 years with high-functioning autism spectrum disorder ( HFASD )",Mind Reading | In Vivo Rehearsal | computer software ( i.e. | Mind Reading ) and in vivo rehearsal treatment | the manualized protocol | the treatment group ( compared to controls ) | the treatment group,"emotion decoding and encoding skills , autism symptoms , and social skills | indicated significantly better posttest performance | controls ) on 3 of the 4 measures of emotion decoding and encoding | specifically , ASD symptoms | significantly lower",Randomized Controlled Trial of Mind Reading and In Vivo Rehearsal for High-Functioning Children with ASD. This randomized controlled trial evaluated t
17402204,train,318,breast cancer . METHODS This | of 266 064 women ( age of 30 to 64 years ) associated with 519 textile factories in Shanghai had been randomly assigned to a BSE group ( 132 979 women ) or a control group ( 133 085 women ) since 1989 . Initial instruction,( BSE ) Program was carried,"mortality rate ( P | in BSE did not seem to have reduced the mortality rate of breast cancer , but more and smaller benign breast lumps could be detected .",Evaluation on the effect of intervention regarding breast self-examination for decreasing breast cancer mortality. OBJECTIVE A randomized trial of bre
25260191,train,209,toddlers at high risk for autism . | toddlers at high risk for an autism spectrum disorder ( ASD ) . Participants included caregivers and their 66 toddlers at high risk for ASD . Caregivers,parental responsiveness intervention | parent-mediated intervention on parental responsiveness | individualized parent education intervention | Parental responsiveness | Parental responsiveness | parental responsiveness,Parental responsiveness and child outcomes | Parental responsiveness | parental responsiveness | child outcomes | joint attention or language . | cognition and language skills,Randomized controlled trial of parental responsiveness intervention for toddlers at high risk for autism. This study tested the effects of a parent-me
21869698,train,378,"employed depressed patients : | employed patients with major depressive disorder ( MDD ) . | Gainfully employed ( ≥20 h/wk ) male and female outpatients with MDD were randomly assigned ( 2:1 ratio ) to 12 weeks of double-blind treatment with desvenlafaxine 50 mg/d or placebo | population . A predefined , modified ITT population ( ie , those in the ITT population with baseline HAM-D₁₇ | for treating MDD in gainfully employed","desvenlafaxine versus placebo . | desvenlafaxine succinate ) | with desvenlafaxine | or placebo | HAM-D₁₇ scores for desvenlafaxine ( n = 285 ) | differences between desvenlafaxine | sample , desvenlafaxine ( n = 208 | . CONCLUSIONS Desvenlafaxine","depressive symptoms and functioning | Scale . RESULTS Baseline HAM-D₁₇ | were 19.8 and 20.4 . Adjusted mean | = 102 ) , baseline HAM-D₁₇ scores | and 23.9 ; the SDS | P = 0.002 | P = 0.017 ) on the SDS . Adverse events and Arizona Sexual Experience Scale",Symptomatic and functional improvement in employed depressed patients: a double-blind clinical trial of desvenlafaxine versus placebo. OBJECTIVE This 
3303886,train,341,"early recurrent ischemia after non-Q-wave myocardial infarction : | 576 patients with non-Q-wave acute myocardial infarction enrolled in the Diltiazem Reinfarction Study , 246 ( 43 % ) had 1 or more episodes of angina at rest or with minimal effort during 10.5 days of treatment with either diltiazem ( 90 mg every 6 hours ) or placebo . | angina are at increased risk",or placebo .,"Prognostic significance | beneficial effect | early recurrent ischemia | extensive damage | peak MB-creatine kinase levels | rate ( 11.3 | changes occurred in | incidence ( p | death , and angina associated | electrocardiographic changes identified a very high | from prophylactic",Prognostic significance and beneficial effect of diltiazem on the incidence of early recurrent ischemia after non-Q-wave myocardial infarction: result
21040167,train,319,"post-transplant . | patients achieving tacrolimus whole-blood concentrations of ≥10 ng/mL within 3 days of kidney transplantation , after randomization either to standard dosing ( control group ) or post-transplantation dosing guided by a 2-hour ( C ( 2 ) ) level following a preoperative tacrolimus dose ( T2 group ) | monitoring . Participants received concomitant mycophenolate mofetil and steroids | RESULTS Ninety patients were recruited , of which 84 were included in the analysis ( control group n=43 ; T2 group",to standard dosing ( control group ) or post-transplantation dosing | preoperative tacrolimus | first postoperative tacrolimus dose | based upon tacrolimus | achieving tacrolimus | achieved tacrolimus | pre-transplant tacrolimus | achieving 10 ng/mL tacrolimus | pre-transplant tacrolimus,tacrolimus requirements post-transplant . | tacrolimus whole-blood concentrations | in the proportion of subjects achieving tacrolimus trough levels | achieved tacrolimus trough levels of ≥10 | increase the high proportion of subjects achieving 10 ng/mL tacrolimus concentrations | achieving a whole-blood concentration of,Pre-transplant pharmacokinetic profiling and tacrolimus requirements post-transplant. AIM To determine the proportion of patients achieving tacrolimus
1884668,train,187,opioid physical dependence in heroin addicts . | long-term heroin addicts | Patients who received placebo ( n = 18 ) | Patients who received naloxone ( n = 58 ),placebo .,opioid withdrawal syndrome | subjective symptoms | subjective symptoms | objective signs of opioid withdrawal,Levels of opioid physical dependence in heroin addicts. The levels of opioid physical dependence in a group of long-term heroin addicts were ascertain
25283504,train,300,"indirect pharmacological response model in healthy subjects . | in healthy subjects using a pharmacokinetic/pharmacodynamic ( PK/PD ) model . | in 40 healthy Chinese subjects ( 4 groups of 10 subjects each , placebo 4:1 ratio ) who received infusions of uricase ( single doses of 0.1 , 0.2 , and 0.3 mg/kg ; multiple doses of 0.2 mg·kg ( -1 ) ·d ( -1 ) for 7 d ) | . Infusions of uricase were well tolerated in all subjects | the effective dose to be 0.1 mg/kg in healthy subjects",intravenous recombinant urate oxidase | intravenous recombinant urate oxidase | of uricase,through plasma uricase activity | using uric acid levels in plasma and urine | in plasma uric acid levels | model . Adverse events | produce pharmacological effects | the mean uric acid concentration in blood and the mean uric acid excretion rate in urine,Pharmacodynamic analysis of intravenous recombinant urate oxidase using an indirect pharmacological response model in healthy subjects. AIM Pharmacody
22045148,train,291,patients requiring mechanical ventilation | postacute care | a mean length of stay of 25 days or more . | patients requiring mechanical ventilation | patient receiving mechanical ventilation | hospital discharge and billing data from the 2005 Nationwide Inpatient Sample for 54 686 Medicare beneficiaries admitted to US community hospitals who met the study 's eligibility criteria .,mechanical ventilation | predictive model | mechanical ventilation,overall length of stay | A simplified score | the predictive model | the simplified score | a hospitalization of 32 days or longer ;,A simplified score for transfer of patients requiring mechanical ventilation to a long-term care hospital. BACKGROUND Long-term care hospitals are Med
24919102,train,133,elderly women using public parks . | developed in public parks | elderly women . | Women older than 65 years ( n = 28 ; 68.5 ± 2.9 ) | . Public parks,balance training program | a balance training program,. Balance | Berg Balance Scale and Timed Up & Go Test | The generic health status,Balance training in elderly women using public parks. This study evaluates the effects of a balance training program developed in public parks on func
2067508,train,161,"Sixty adult patients , ASA Classes I & II",intranasal surgery -- comparison | Mallinckrodt Hi-Lo-Evac tube and Portex blue line tube,effective protection of the lower airways | postoperative morbidity,"Tracheal soiling with blood during intranasal surgery--comparison of two endotracheal tubes. Sixty adult patients, ASA Classes I & II, were involved i"
12031821,train,330,patients with coronary heart disease . | patients with coronary heart disease ( CHD ) | Fifty-eight patients,HMG CoA reductase inhibitors | atorvastatin .,"Fasting blood samples | fibrinogen , prothrombin fragment 1+2 ( F1+2 ) , plasma D-dimer , soluble tissue factor , tissue plasminogen activator ( tPA ) antigen , tPA activity , plasminogen activator inhibitor type-1 activity ( PAI-1 activity ) and serum D-dimer as a global test of fibrinolytic activity . | improved fibrinolytic activity | increased levels | serum D-dimer | tPA activity | reduction in tPA antigen | significant increase in serum D-dimer | borderline increase in tPA activity | borderline reduction in tPA antigen | reduction in prothrombin F1+2 | global fibrinolysis | fibrinolytic profile",Improved fibrinolysis after 1-year treatment with HMG CoA reductase inhibitors in patients with coronary heart disease. The study was aimed to investi
21887489,train,371,"children and adolescents with juvenile idiopathic arthritis . | children and adolescents with juvenile idiopathic arthritis ( JIA ) . | patients with JIA aged between 8 and 17 years and healthy controls was used | . Fifty-two patients and 48 controls were included with a mean age of 12.13 ± 2.92 and 11.27 ± 1.59 years , respectively . The mean disease duration was | that only depression was related to",Cross-sectional study | . Sociodemographic data and clinical features | . Physical activity level and energy expenditure | a 1-day activity diary | for Child Anxiety Related Emotional Disorders ( SCARED ) questionnaire . Depressive symptoms | the Children 's Depression Inventory ( CDI ) | the Childhood Health Assessment Questionnaire,"functional ability | physical activity level | anxiety , depression | functional ability | . Sociodemographic data and clinical features | . Physical activity level and energy expenditure | . Anxiety | by The Screen for Child Anxiety Related Emotional Disorders ( SCARED ) | . Depressive symptoms | . Pain and overall well-being | respectively . The mean disease | significantly less time in physical | ( p = 0.000 ) , decrease in energy | ( p = 0.04 ) , and | relationships were found between the number of active joint | ( r = 0.44 | p = 0.000 ) . Significant relationships were | ( r = 0.29 | p = 0.000 ) , and | ( r = 0.34 , p = 0.01 ) | significant . The result of our study suggested","The relationship between physical activity level, anxiety, depression, and functional ability in children and adolescents with juvenile idiopathic art"
11246578,train,207,"Work-related stress and early atherosclerosis . | early atherosclerosis | Four hundred sixty-seven members of an occupational cohort ( total N = 573 ) were examined via questionnaires and B-mode ultrasound . | women , stress | men with greater work-related stress",questionnaires and B-mode ultrasound .,work-related stress scores | prevalence of carotid lesions | intima-media thickness | prevalence of lesions or intima-media thickness . | work-related stress | atherosclerotic disease .,Work-related stress and early atherosclerosis. The purpose of this study was to examine the link between work-related stress and early atherosclerosis
16740812,train,483,inner-city children with asthma . | 5- to 11-year-old children ( n = 937 ) with moderate to severe asthma receiving health care in hospital- and community-based clinics and private practices in 7 inner-city urban areas . | caretaker of each child,clinician feedback | patient feedback | a letter | bimonthly telephone call to collect clinical information about the child 's asthma . | bimonthly computer-generated letters | Asthma medications | Patient-specific feedback,scheduled visit | number of symptom days | emergency department visits | emergency department visits,A randomized clinical trial of clinician feedback to improve quality of care for inner-city children with asthma. CONTEXT Barriers impede translating 
